,size,strength,best_pred,mean_time,min_time,max_time,best_pos
18,9,10,-11.990944569034697,16.276500058174133,15.907000541687012,16.858283281326294,"[ 1.22559116  0.52099403 -0.02084985  0.51139127  1.32635574 -0.01882622
 -1.1998334   0.31931611 -0.17858261  0.253093    0.47065591 -0.48439991
 -0.45609952  0.96430207  0.25663562 -0.69367268  0.98134327 -0.75363679
  0.50747057 -0.36608417 -0.04574594  0.3904137   0.56560534  0.61919736
  1.08068417 -0.84536467  1.0779533 ]
"
19,9,14,-7.620893273669668,15.937323689460754,15.332086563110352,16.281843185424805,"[ 0.36564334  0.46869485 -0.11062613  0.60943887 -1.51472896  0.67519314
 -0.62165857 -0.91856144  0.81281716 -0.15337353 -1.06048823 -0.06206456
  0.66485778  0.15784832  0.75521851 -0.47875352 -0.06616137 -0.12065433
 -0.28152166 -0.70922082 -0.97062815  0.76375872 -0.7409063   0.02518577
 -0.53774787  0.79046502 -0.83337273]
"
20,10,3,-29.03853171631854,19.87106559276581,19.159950256347656,20.5000638961792,"[ 8.95535442e-01  7.75824971e-01  1.75608556e-04  1.85138263e-01
 -5.34804695e-01  1.56329303e-01  9.00374308e-01 -1.60372060e-01
  5.62036682e-01 -7.02185471e-01 -1.53351106e-01  1.61850288e-01
  8.25843987e-01  6.93771084e-01  9.27475727e-01  8.63049543e-02
  3.73226688e-01  2.17744227e-01 -1.99893402e-01 -6.13968669e-02
 -5.85621370e-01  5.91541199e-01  2.40737255e-01 -6.29614272e-01
 -3.79791143e-01  8.64781260e-01  7.52384491e-01  8.26449575e-02
  6.41474573e-02  1.01156951e+00]
"
21,10,6,-15.517282197196387,19.314084625244142,18.87700080871582,19.956032752990723,"[ 0.64376293  0.51161127  1.24200224 -0.0894023   1.07489902 -0.53099435
 -1.41132104  0.15728895  0.12594613 -0.38763685  0.16369066  0.20187765
  0.30615768  0.1315441  -0.67718592  0.60417454  0.52317331  0.1349513
  1.33682    -0.12105714  0.38864779 -0.98914609 -0.04707821  1.00431395
 -0.24264469  0.14720905  1.67823662  0.16089815 -0.46748722  0.95793598]
"
22,10,10,-11.317685830684328,19.286916184425355,18.78403353691101,20.041001319885254,"[ 1.08270757  0.59691502  1.12188005  1.10804476  1.00360995  0.16942114
  1.04228129 -0.96674542 -0.20846372  0.31690192 -0.20934673 -0.46068512
  0.46360355 -0.15270346  1.51742809 -0.39239556  1.46642115  0.50658201
 -0.20975837 -0.1714903   0.83189714 -0.66866537  0.84889699 -0.42454445
  0.83074033 -0.3296856   0.60364263  0.16854468  0.65408814  0.24124448]
"
23,10,14,-7.99526014276054,19.792334175109865,18.99500012397766,20.729002475738525,"[ 0.70133023  1.2846998   0.90993064  1.67829855 -1.12051283 -0.92417115
  0.96854746 -0.599076   -0.34592937  1.66451176 -1.45972438  0.3052126
  0.98537245 -1.61269134 -0.38549368  1.19146158  1.27560845 -0.59278327
  0.39185466  1.20566757 -0.04078837  0.3921955   0.35230105  0.60245351
  0.01572355  1.1474232   1.62183143 -1.36062003  0.11505717  0.5627454 ]
"
24,11,3,-33.95936188837803,24.286443066596984,23.618488550186157,24.56285262107849,"[ 0.17886952 -0.14410571  0.62363836 -0.21149163  1.02110032  0.47013442
  0.53460765  1.59946997  0.79790125  0.32513604  1.36849943 -0.08059954
  0.01721938  0.74200677  1.24893484 -0.53208915  1.11183772 -0.38993859
 -0.45995778  0.2008081   0.18905309  0.75453164  0.2171298   1.26057386
  0.67722509  0.66946006  0.48466823  0.89330502 -0.38759176  0.11772317
  0.28676472  0.34436362 -0.29375615]
"
25,11,6,-14.745030457620397,23.756399750709534,23.286046028137207,24.660096645355225,"[-0.39479207  1.02027913 -0.29200503  0.33538963  0.33859793 -0.36540115
  1.22588868 -0.28705487 -0.32784797 -0.72023704  0.47238837  0.48816317
  0.00442835  1.31313857  0.56676862  1.31267692 -1.10721274 -1.02049414
 -0.11598573 -0.56955005 -0.05895121 -0.25419717 -0.12583624 -1.00265733
 -0.232925    0.21583299  1.51830526 -1.27924316  0.07725196 -1.28315243
 -0.96707702  0.33830395 -0.46823118]
"
26,11,10,-10.531784640388734,24.01203751564026,23.330239057540894,24.616378784179688,"[-0.26642113  0.77146498 -0.1329374   0.27114314 -1.04854025  1.06205259
 -0.17751083 -0.29079544  0.63411346  1.46407945 -0.46701284  1.27265951
 -1.06983679  0.40385665 -0.70581789 -0.56744347 -0.53662149  1.63845077
 -0.38652554 -0.74362545 -0.71139587 -0.91009278 -1.10602856  0.07585531
  0.23259108  0.01399366 -0.71864174  0.1661623  -1.06540813  0.03569352
 -1.18875595  0.85278156 -1.59553047]
"
27,11,14,-7.473844587310307,23.741995310783388,23.401461601257324,24.142860174179077,"[ 0.40374142  0.8613552  -0.19447993  0.06629076 -1.37815739  0.15176901
  0.93226495 -0.38770161  0.35195504 -0.45809853  0.88016684  0.30857296
 -0.12166962 -0.68501528  0.92539101  1.05511437  0.12475567 -0.53406448
  1.27704405  0.29341412 -1.68318914  0.20364494  0.92898328  1.69841707
 -1.13518398  1.01842821 -1.03867097  0.41763567 -0.65391168 -0.48116727
 -0.48778415 -0.55021753 -0.85561432]
"
